Date,CCSA,in_millions
2020-03-07,1702000.0,1.702
2020-03-14,1784000.0,1.784
2020-03-21,3059000.0,3.059
2020-03-28,7446000.0,7.446
2020-04-04,11914000.0,11.914
2020-04-11,15819000.0,15.819
2020-04-18,18011000.0,18.011
2020-04-25,22377000.0,22.377
2020-05-02,22548000.0,22.548
2020-05-09,24912000.0,24.912
2020-05-16,20841000.0,20.841
2020-05-23,21268000.0,21.268
2020-05-30,20606000.0,20.606
2020-06-06,20289000.0,20.289
2020-06-13,19231000.0,19.231
2020-06-20,18760000.0,18.76
2020-06-27,17760000.0,17.76
2020-07-04,17338000.0,17.338
