Date,federalGovt,fedGovt 12M,fedGovt 1M
2019-01,2811.0,,
2019-02,2814.0,,3.0
2019-03,2815.0,,1.0
2019-04,2823.0,,8.0
2019-05,2826.0,,3.0
2019-06,2829.0,,3.0
2019-07,2831.0,,2.0
2019-08,2857.0,,26.0
2019-09,2857.0,,0.0
2019-10,2844.0,,-13.0
2019-11,2850.0,,6.0
2019-12,2847.0,,-3.0
2020-01,2855.0,44.0,8.0
2020-02,2867.0,53.0,12.0
2020-03,2886.0,71.0,19.0
2020-04,2893.0,70.0,7.0
2020-05,2885.0,59.0,-8.0
2020-06,2883.0,54.0,-2.0
2020-07,2912.0,81.0,29.0
2020-08,3162.0,305.0,250.0
2020-09,3128.0,271.0,-34.0
