,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
fedGovt 1M,3000.0,1000.0,8000.0,3000.0,3000.0,2000.0,26000.0,0.0,-13000.0,6000.0,-3000.0,8000.0,12000.0,19000.0,7000.0,-8000.0,-2000.0,29000.0,251000.0
eduHealth 1M,18000.0,63000.0,65000.0,30000.0,55000.0,73000.0,58000.0,61000.0,40000.0,73000.0,29000.0,69000.0,52000.0,-178000.0,-2603000.0,388000.0,567000.0,222000.0,147000.0
profBusServ 1M,38000.0,12000.0,50000.0,27000.0,41000.0,43000.0,40000.0,25000.0,42000.0,37000.0,22000.0,20000.0,27000.0,-94000.0,-2202000.0,160000.0,311000.0,153000.0,197000.0
leisureHosp 1M,-23000.0,21000.0,13000.0,12000.0,7000.0,2000.0,42000.0,61000.0,70000.0,43000.0,40000.0,24000.0,59000.0,-743000.0,-7575000.0,1405000.0,1979000.0,621000.0,174000.0
retailTrade 1M,-29000.0,-24000.0,-12000.0,-12000.0,-5000.0,1000.0,-1000.0,9000.0,22000.0,-14000.0,41000.0,-3000.0,3000.0,-85000.0,-2299000.0,386000.0,858000.0,236000.0,249000.0
mfg 1M,5000.0,-3000.0,2000.0,0.0,9000.0,7000.0,3000.0,3000.0,-41000.0,58000.0,-2000.0,-22000.0,8000.0,-46000.0,-1317000.0,240000.0,333000.0,41000.0,29000.0
financial 1M,14000.0,17000.0,14000.0,6000.0,5000.0,21000.0,15000.0,3000.0,21000.0,12000.0,10000.0,9000.0,22000.0,-18000.0,-261000.0,19000.0,20000.0,13000.0,36000.0
constr 1M,-29000.0,20000.0,26000.0,9000.0,19000.0,7000.0,4000.0,16000.0,17000.0,-2000.0,16000.0,38000.0,46000.0,-65000.0,-1018000.0,456000.0,159000.0,27000.0,16000.0
wholesale 1M,6000.0,-4000.0,13000.0,4000.0,1000.0,7000.0,1000.0,6000.0,10000.0,3000.0,7000.0,4000.0,-3000.0,-12000.0,-385000.0,23000.0,52000.0,-20000.0,14000.0
other 1M,1000.0,15000.0,15000.0,-3000.0,15000.0,9000.0,5000.0,-3000.0,0.0,16000.0,2000.0,10000.0,6000.0,-91000.0,-1279000.0,245000.0,366000.0,154000.0,74000.0
transp 1M,2000.0,6000.0,7000.0,3000.0,21000.0,-0.0,-4000.0,10000.0,7000.0,23000.0,-2000.0,23000.0,-0.0,-10000.0,-560000.0,-25000.0,87000.0,49000.0,78000.0
info 1M,-2000.0,10000.0,-6000.0,8000.0,12000.0,-3000.0,-1000.0,5000.0,-1000.0,9000.0,9000.0,11000.0,0.0,-6000.0,-279000.0,-40000.0,7000.0,-9000.0,15000.0
