Date,leisureHosp,leisureHosp 12M,leisureHosp 1M
2019-01,16496.0,,
2019-02,16473.0,,-23.0
2019-03,16494.0,,21.0
2019-04,16507.0,,13.0
2019-05,16519.0,,12.0
2019-06,16526.0,,7.0
2019-07,16528.0,,2.0
2019-08,16570.0,,42.0
2019-09,16631.0,,61.0
2019-10,16701.0,,70.0
2019-11,16744.0,,43.0
2019-12,16784.0,,40.0
2020-01,16808.0,312.0,24.0
2020-02,16867.0,394.0,59.0
2020-03,16124.0,-370.0,-743.0
2020-04,8549.0,-7958.0,-7575.0
2020-05,9954.0,-6565.0,1405.0
2020-06,11933.0,-4593.0,1979.0
2020-07,12554.0,-3974.0,621.0
2020-08,12728.0,-3842.0,174.0
