Date,mfg,mfg 12M,mfg 1M
2019-01,12825.0,,
2019-02,12830.0,,5.0
2019-03,12827.0,,-3.0
2019-04,12829.0,,2.0
2019-05,12829.0,,0.0
2019-06,12838.0,,9.0
2019-07,12845.0,,7.0
2019-08,12848.0,,3.0
2019-09,12851.0,,3.0
2019-10,12810.0,,-41.0
2019-11,12868.0,,58.0
2019-12,12866.0,,-2.0
2020-01,12844.0,19.0,-22.0
2020-02,12852.0,22.0,8.0
2020-03,12806.0,-21.0,-46.0
2020-04,11489.0,-1340.0,-1317.0
2020-05,11729.0,-1100.0,240.0
2020-06,12062.0,-776.0,333.0
2020-07,12103.0,-742.0,41.0
2020-08,12139.0,-709.0,36.0
2020-09,12205.0,-646.0,66.0
