Date,transportation,transp 12M,transp 1M
2019-01,5584.3,,
2019-02,5585.9,,1.5999999999994543
2019-03,5591.6,,5.700000000000728
2019-04,5598.6,,7.0
2019-05,5601.6,,3.0
2019-06,5622.7,,21.099999999999454
2019-07,5622.2,,-0.5
2019-08,5618.1,,-4.099999999999454
2019-09,5628.6,,10.5
2019-10,5635.4,,6.799999999999272
2019-11,5658.0,,22.600000000000364
2019-12,5655.9,,-2.100000000000364
2020-01,5678.5,94.19999999999982,22.600000000000364
2020-02,5678.1,92.20000000000073,-0.3999999999996362
2020-03,5668.2,76.59999999999945,-9.900000000000546
2020-04,5108.4,-490.2000000000007,-559.8000000000002
2020-05,5083.3,-518.3000000000002,-25.099999999999454
2020-06,5170.5,-452.1999999999998,87.19999999999982
2020-07,5218.5,-403.6999999999998,48.0
2020-08,5300.2,-317.90000000000055,81.69999999999982
2020-09,5373.8,-254.80000000000018,73.60000000000036
